ID,categories,sub_categories
2015_5_6133_1001,2,15
2015_5_6134_1001,2,16
2015_5_6149_1001,4,14
2015_5_6150_1001,1,20
2015_5_6153_1001,1,17
2015_5_6154_1001,1,18
2015_5_6155_1001,2,9
2015_5_6164_1001,2,8
2015_5_6165_1001,1,20
2015_5_6169_1001,5,19
2015_5_6171_1001,5,15
2015_5_6173_1001,1,8
2015_5_6187_1001,5,9
2015_5_6194_1001,1,10
2015_5_6196_1001,5,17
2015_5_6202_1001,3,4
2015_5_6220_1001,5,4
2015_5_6228_1001,5,9
2015_5_6234_1001,1,7
2015_5_6237_1001,2,15
2015_5_6239_1001,5,15
2015_5_6240_1001,2,10
2015_5_6245_1001,5,15
2015_5_6253_1001,5,20
2015_5_6254_1001,2,15
2015_5_6256_1001,4,7
2015_5_6257_1001,3,17
2015_5_6259_1001,3,9
2015_5_6261_1001,2,6
2015_5_6265_1001,4,20
2015_5_6268_1001,4,7
2015_5_6269_1001,2,19
2015_5_6274_1001,1,20
2015_5_6275_1001,4,20
2015_5_6282_1001,1,4
2015_5_6284_1001,5,9
2015_5_6286_1001,2,4
2015_5_6289_1001,2,15
2015_5_6290_1001,2,11
2015_5_6292_1001,4,15
2015_5_6300_1001,4,1
2015_5_6301_1001,5,20
2015_5_6311_1001,4,14
2015_5_6322_1001,5,18
2015_5_6325_1001,4,15
2015_5_6330_1001,4,7
2015_5_6331_1001,2,20
2015_5_6337_1001,3,20
2015_5_6350_1001,5,11
2015_5_6352_1001,2,20
2015_5_6362_1001,1,7
2015_5_6363_1001,3,19
2015_5_6365_1001,1,4
2015_5_6370_1001,4,15
2015_5_6372_1001,2,8
2015_5_6376_1001,2,14
2015_5_6377_1001,5,11
2015_5_6378_1001,2,5
2015_5_6382_1001,1,16
2015_5_6383_1001,5,9
2015_5_6387_1001,5,8
2015_5_6390_1001,4,20
2015_5_6403_1001,5,9
2015_5_6407_1001,1,9
2015_5_6408_1001,2,20
2015_5_6409_1001,4,10
2015_5_6413_1001,2,7
2015_5_6420_1001,4,14
2015_5_6425_1001,5,8
2015_5_6428_1001,1,7
2015_5_6429_1001,5,9
2015_5_6432_1001,5,15
2015_5_6437_1001,2,11
2015_5_6440_1001,3,15
2015_5_6453_1001,5,14
2015_5_6454_1001,5,15
2015_5_6460_1001,5,12
2015_5_6462_1001,4,7
2015_5_6463_1001,5,11
2015_5_6466_1001,5,13
2015_5_6468_1001,5,15
2015_5_6469_1001,5,7
2015_5_6473_1001,2,9
2015_5_6481_1001,1,20
2015_5_6483_1001,2,17
2015_5_6485_1001,1,15
2015_5_6497_1001,5,13
2015_5_6499_1001,2,8
2015_5_6501_1001,1,9
2015_5_6503_1001,4,19
