"","CANCELLATION","CHANGE OF HOSPITAL","CHANGE OF PHARMACY","CHANGE OF PROVIDER","FOLLOW UP ON PREVIOUS REQUEST","LAB RESULTS","MEDICATION RELATED","NEW APPOINTMENT","OTHERS","PRIOR AUTHORIZATION","PROVIDER","QUERIES FROM INSURANCE FIRM","QUERIES FROM PHARMACY","QUERY ON CURRENT APPOINTMENT","REFILL","RESCHEDULING","RUNNING LATE TO APPOINTMENT","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)","SYMPTOMS"
"CANCELLATION",111,1,0,2,4,105,76,202,49,13,9,1,26,10,37,45,4,26,56,8
"CHANGE OF HOSPITAL",3,1,0,7,1,3,31,9,35,4,2,2,0,0,15,2,1,22,1,1
"CHANGE OF PHARMACY",0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"CHANGE OF PROVIDER",1,9,2,161,3,4,155,59,193,1,2,6,2,1,31,7,2,134,9,18
"FOLLOW UP ON PREVIOUS REQUEST",0,2,0,1,44,0,46,8,4,14,11,0,5,0,115,0,0,0,5,4
"LAB RESULTS",6,0,0,0,0,457,10,2,1,1,0,0,0,0,0,0,0,0,23,0
"MEDICATION RELATED",2,3,1,11,6,27,1807,50,30,8,19,1,15,6,50,4,1,23,12,0
"NEW APPOINTMENT",9,0,0,0,0,0,6,1404,25,1,1,0,0,0,3,32,2,0,0,1
"OTHERS",7,4,3,25,3,21,72,24,1501,32,28,3,1,2,52,13,0,121,19,5
"PRIOR AUTHORIZATION",0,2,1,0,4,1,46,0,12,192,11,0,5,0,184,0,0,0,0,5
"PROVIDER",6,1,0,2,12,12,94,65,8,43,404,0,27,1,237,4,0,4,3,10
"QUERIES FROM INSURANCE FIRM",1,0,0,2,0,0,10,2,31,0,2,4,0,0,1,0,0,15,1,1
"QUERIES FROM PHARMACY",1,0,0,0,5,6,32,12,24,17,31,4,358,0,26,0,0,7,11,0
"QUERY ON CURRENT APPOINTMENT",24,1,0,6,6,10,272,561,71,16,4,0,1,122,81,120,36,19,18,32
"REFILL",2,3,6,12,16,38,169,111,47,34,55,1,71,11,2193,14,2,49,14,9
"RESCHEDULING",6,1,2,5,1,0,60,191,10,1,0,0,3,12,2,180,11,0,1,7
"RUNNING LATE TO APPOINTMENT",19,2,1,10,7,18,91,548,112,9,20,1,14,21,58,64,169,68,14,13
"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0,9,1,21,0,0,12,1,145,0,0,8,1,0,2,0,0,556,0,2
"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",10,1,0,4,2,65,107,67,38,6,16,2,20,4,33,15,0,29,249,6
"SYMPTOMS",13,10,1,49,5,115,437,177,121,17,42,3,25,29,153,42,3,109,39,278
