test_ids,Category,Sub_category
2015_5_6133_1001,4,17
2015_5_6134_1001,1,19
2015_5_6135_1001,1,19
2015_5_6136_1001,2,16
2015_5_6137_1001,2,15
2015_5_614_1001,3,18
2015_5_6140_1001,3,4
2015_5_6141_1001,1,8
2015_5_6142_1001,2,15
2015_5_6144_1001,3,11
2015_5_6147_1001,2,16
2015_5_6149_1001,2,16
2015_5_615_1001,4,17
2015_5_6150_1001,3,18
2015_5_6151_1001,4,13
2015_5_6153_1001,3,18
2015_5_6154_1001,3,18
2015_5_6155_1001,1,8
2015_5_6156_1001,3,18
2015_5_6158_1001,2,15
2015_5_6159_1001,0,10
2015_5_616_1001,4,17
2015_5_6160_1001,4,17
2015_5_6162_1001,2,16
2015_5_6164_1001,1,19
2015_5_6165_1001,3,18
2015_5_6168_1001,4,12
2015_5_6169_1001,4,9
2015_5_6171_1001,4,12
2015_5_6173_1001,3,11
2015_5_6174_1001,3,4
2015_5_6176_1001,2,16
2015_5_6178_1001,4,17
2015_5_618_1001,4,12
2015_5_6180_1001,4,17
2015_5_6182_1001,3,18
2015_5_6183_1001,0,14
2015_5_6184_1001,2,16
2015_5_6185_1001,4,17
2015_5_6187_1001,2,15
2015_5_6188_1001,3,18
2015_5_6189_1001,1,8
2015_5_619_1001,2,16
2015_5_6191_1001,4,12
2015_5_6194_1001,3,4
2015_5_6196_1001,4,17
2015_5_6199_1001,3,18
2015_5_62_1001,1,19
2015_5_6202_1001,0,10
2015_5_6203_1001,4,12
2015_5_6204_1001,2,16
2015_5_6205_1001,4,13
2015_5_6206_1001,4,17
2015_5_6207_1001,4,17
2015_5_621_1001,1,19
2015_5_6210_1001,2,16
2015_5_6211_1001,4,17
2015_5_6213_1001,4,17
2015_5_6214_1001,2,16
2015_5_6215_1001,3,18
2015_5_6216_1001,2,15
2015_5_6218_1001,2,16
2015_5_6220_1001,2,16
2015_5_6221_1001,0,5
2015_5_6224_1001,2,7
2015_5_6227_1001,1,19
2015_5_6228_1001,4,17
2015_5_6230_1001,1,8
2015_5_6231_1001,3,18
2015_5_6232_1001,0,14
2015_5_6234_1001,3,18
2015_5_6235_1001,2,16
2015_5_6236_1001,2,16
2015_5_6237_1001,1,19
2015_5_6239_1001,4,17
2015_5_624_1001,4,13
2015_5_6240_1001,2,16
2015_5_6241_1001,1,19
2015_5_6243_1001,3,18
2015_5_6244_1001,3,18
2015_5_6245_1001,4,13
2015_5_6246_1001,1,19
2015_5_6247_1001,0,14
2015_5_6248_1001,4,17
2015_5_6249_1001,4,17
2015_5_6250_1001,1,8
2015_5_6252_1001,3,11
2015_5_6253_1001,4,17
2015_5_6254_1001,1,19
2015_5_6255_1001,1,19
2015_5_6256_1001,2,15
2015_5_6257_1001,1,8
2015_5_6259_1001,1,8
2015_5_6261_1001,1,19
2015_5_6264_1001,1,8
2015_5_6265_1001,4,17
2015_5_6266_1001,2,16
2015_5_6267_1001,2,16
2015_5_6268_1001,2,16
2015_5_6269_1001,1,19
2015_5_627_1001,4,17
2015_5_6270_1001,3,18
2015_5_6271_1001,4,17
2015_5_6273_1001,2,16
2015_5_6274_1001,3,18
2015_5_6275_1001,4,9
2015_5_6276_1001,4,17
2015_5_6278_1001,4,17
2015_5_6279_1001,4,9
2015_5_628_1001,4,17
2015_5_6280_1001,4,17
2015_5_6282_1001,3,5
2015_5_6283_1001,2,16
2015_5_6284_1001,4,17
2015_5_6285_1001,4,17
2015_5_6286_1001,1,8
2015_5_6287_1001,4,12
2015_5_6289_1001,1,19
2015_5_629_1001,3,18
2015_5_6290_1001,1,19
2015_5_6292_1001,2,16
2015_5_6293_1001,1,8
2015_5_6294_1001,1,19
2015_5_6297_1001,4,17
2015_5_63_1001,2,7
2015_5_630_1001,4,17
2015_5_6300_1001,2,7
2015_5_6301_1001,4,17
2015_5_6303_1001,1,19
2015_5_6304_1001,2,16
2015_5_6305_1001,4,17
2015_5_6306_1001,4,17
2015_5_6309_1001,2,16
